FECHA,NEMO,RAZON_SOCIAL,VOLUMEN,VAR_PRE,CANTIDAD,PRE_CIE,PRE_MAX,PRE_MED,PRE_MEN,V_ACMI_FEC_INSCRIP,PATRI_CON
05/01/2016,PFVILLAS00,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,0,0,0,0,20030401,6116.74
05/01/2016,PFVILLAS01,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,0,0,0,0,20030401,6116.74
05/01/2016,PFVILLASCA,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,2700,0,0,0,20030401,6116.74
05/01/2016,POPULAR   ,BANCO POPULAR S.A.,125000000,1.21,250000,500,500,500,500,19940526,338.85
05/01/2016,PROMIGAS  ,PROMIGAS S.A. E.S.P.,45645000,0,9129,5000,5000,5000,5000,19900822,2578.88
05/01/2016,PROTECCION,ADMINISTRADORA DE FONDOS DE PENSIONES Y CES PROTECCION,0,0,0,71000,0,0,0,19950616,47052.87
05/01/2016,RCNTELEVI ,R.C.N. TELEVISION S.A.,0,0,0,24100,0,0,0,19980312,39249.1
05/01/2016,RIOPAILA  ,RIOPAILA AGRICOLA S.A.,0,0,0,6144,0,0,0,19830617,5108.24
05/01/2016,RIOPAILIND,RIOPAILA CASTILLA S.A.,0,0,0,0,0,0,0,20060810,8853.56
05/01/2016,SANFELIPE ,COMPANIA AGRICOLA SAN FELIPE S.A.,0,0,0,480,0,0,0,19860619,1078.18
05/01/2016,TERPEL    ,ORGANIZACION TERPEL S.A,36043300,9.46,4000,9260,9260,9010.83,8800,20140815,8168.7
05/01/2016,TGLSC     ,TECNOGLASS INC,0,0,0,0,0,0,0,20160106,10504.95
05/01/2016,VALINDUSTR,VALORES INDUSTRIALES S.A.,0,0,0,5500,0,0,0,19970901,8741.69
05/01/2016,VALOREM   ,VALOREM S.A.,0,0,0,460,0,0,0,19980105,531.55
05/01/2016,VALSIMESA ,VALORES SIMESA S.A.,0,0,0,1500,0,0,0,20010322,7906.57
05/01/2016,VILLAS    ,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,9500,0,0,0,19941215,6116.74
06/01/2016,AGROCHAL  ,AGROGUACHAL S.A.,0,0,0,506,0,0,0,19860619,1360.33
06/01/2016,BBVACOL   ,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A.,0,0,0,240,0,0,0,19730824,284.2
06/01/2016,BCOLOMBIA ,BANCOLOMBIA S.A.,661432320,-2.87,32587,20280,20500,20297.43,20020,19450701,22925.5
06/01/2016,BIOMAX    ,BIOMAX BIOCOMBUSTIBLES S.A.,0,0,0,1750,0,0,0,20091028,1184.78
06/01/2016,BMC       ,BMC BOLSA MERCANTIL DE COLOMBIA,0,0,0,841,0,0,0,20071030,1142.83
06/01/2016,BOGOTA    ,BANCO DE BOGOTA S.A.,87960240,-0.85,1500,58500,58980,58640.16,58020,19290401,50263.89
06/01/2016,BVC       ,BOLSA DE VALORES DE COLOMBIA S.A.,43872205.5,0,2539446,17.5,17.5,17.28,17.1,20070621,6.17
06/01/2016,CARACOLTV ,CARACOL TELEVISION S.A.,0,0,0,382,0,0,0,19970502,660.91
06/01/2016,CARTON    ,CARTON DE COLOMBIA S.A.,0,0,0,4600,0,0,0,19690523,13240.6
06/01/2016,CELSIA    ,CELSIA S.A E.S.P,460301775,-1.33,153881,2960,3000,2991.28,2935,20011008,5680.52
06/01/2016,CEMARGOS  ,CEMENTOS ARGOS S.A.,1338091190,3.97,143243,9700,9700,9341.41,9260,19620201,6196.02
06/01/2016,CLH       ,CEMEX LATAM HOLDING,1073319600,0,103837,10400,10420,10336.58,10100,20121107,7593.43
06/01/2016,CNEC      ,CANACOL ENERGY LTD,891254790,-7.78,151320,5810,6060,5889.87,5780,20100721,6139.86
